romero p sergio-SI, letelier m juan pablo-SI, prokurica p baldo-SI, zaldivar l adolfo-SI, sabag c hosain-SI, munioz a pedro-SI, pizarro s jorge-SI, larrain f hernan-SI, vasquez u guillermo-SI, naranjo o jaime-SI, arancibia r jorge-SI, matthei f evelyn-SI, perez v victor-SI, espina o alberto-SI, escalona m camilo-SI, kuschel s carlos ignacio-SI, longueira m pablo-SI, garcia r jose-SI, coloma c juan antonio-SI, allamand z andres-SI, cantero o carlos-SI, novoa v jovino-SI, bianchi c carlos-SI, vila c nelson-SI, ruiz-esquide j mariano-SI, girardi l guido-SI
letelier m juan pablo-SI, bianchi c carlos-SI, garcia r jose-SI, kuschel s carlos ignacio-SI, alvear v soledad-SI, coloma c juan antonio-SI, novoa v jovino-SI, perez v victor-SI, allamand z andres-SI, cantero o carlos-SI, longueira m pablo-SI, horvath k antonio-SI, nuniez m ricardo-SI, vasquez u guillermo-SI, zaldivar l adolfo-SI, matthei f evelyn-SI, girardi l guido-SI, ominami p carlos-SI, naranjo o jaime-SI, escalona m camilo-SI, prokurica p baldo-SI, vila c nelson-SI, espina o alberto-SI, orpis b jaime-SI, gazmuri m jaime-SI, arancibia r jorge-SI, munioz a pedro-SI, navarro b alejandro-SI, gomez u jose antonio-SI
escalona m camilo-SI, gazmuri m jaime-SI, munioz b roberto-SI, arancibia r jorge-SI, matthei f evelyn-SI, espina o alberto-SI, ominami p carlos-SI, girardi l guido-SI, nuniez m ricardo-ABSTENCION, gomez u jose antonio-ABSTENCION, navarro b alejandro-SI, letelier m juan pablo-SI, alvear v soledad-SI, longueira m pablo-SI, larrain f hernan-SI, frei r eduardo-SI, ruiz-esquide j mariano-SI, naranjo o jaime-SI, orpis b jaime-SI, prokurica p baldo-SI, sabag c hosain-SI, romero p sergio-SI, kuschel s carlos ignacio-SI, horvath k antonio-SI, garcia r jose-SI, novoa v jovino-SI
__-NO, munioz b roberto-SI, moreno r rafael-ABSTENCION, frei r carmen-NO, arancibia r jorge-NO, fernandez f sergio-SI, nuniez m ricardo-NO, viera-gallo q jose antonio-ABSTENCION, naranjo o jaime-SI, ruiz d jose-NO, zaldivar l andres-NO, ruiz-esquide j mariano-SI, frei r eduardo-NO, bombal o carlos -SI, chadwick p andres-SI, stange o rodolfo-SI, vila c nelson-NO, parra m augusto-NO, silva c enrique-NO, martinez b jorge-NO, vega h ramon-NO, aburto o marcos-ABSTENCION, boeninger k edgardo-NO, espina o alberto-SI, coloma c juan antonio-SI, prokurica p baldo-SI, horvath k antonio-SI, __-SI
moreno r rafael-SI, frei r carmen-SI, arancibia r jorge-NO, fernandez f sergio-SI, nuniez m ricardo-SI, naranjo o jaime-SI, ruiz d jose-SI, ruiz-esquide j mariano-SI, bombal o carlos -SI, vila c nelson-SI, parra m augusto-SI, martinez b jorge-ABSTENCION, canessa r julio-SI, vega h ramon-SI, zurita c enrique-SI, cordero r fernando-SI, garcia r jose-ABSTENCION, rios s mario-NO, cantero o carlos-NO, horvath k antonio-NO, __-SI
flores l fernando-SI, moreno r rafael-SI, frei r carmen-SI, arancibia r jorge-NO, fernandez f sergio-SI, nuniez m ricardo-SI, naranjo o jaime-SI, ruiz d jose-SI, ruiz-esquide j mariano-SI, bombal o carlos -SI, parra m augusto-SI, martinez b jorge-SI, canessa r julio-SI, vega h ramon-SI, zurita c enrique-SI, cordero r fernando-SI, garcia r jose-SI, rios s mario-SI, cantero o carlos-ABSTENCION, horvath k antonio-SI, __-SI
flores l fernando-NO, moreno r rafael-NO, frei r carmen-NO, arancibia r jorge-NO, fernandez f sergio-NO, nuniez m ricardo-NO, naranjo o jaime-NO, ruiz d jose-NO, ruiz-esquide j mariano-NO, vila c nelson-ABSTENCION, parra m augusto-NO, martinez b jorge-SI, canessa r julio-SI, vega h ramon-SI, zurita c enrique-SI, cordero r fernando-SI, garcia r jose-SI, orpis b jaime-ABSTENCION, rios s mario-SI, cantero o carlos-SI, horvath k antonio-SI, __-NO
munioz b roberto-SI, flores l fernando-SI, moreno r rafael-NO, frei r carmen-NO, arancibia r jorge-NO, fernandez f sergio-SI, nuniez m ricardo-NO, viera-gallo q jose antonio-NO, naranjo o jaime-NO, zaldivar l andres-NO, sabag c hosain-NO, bombal o carlos -SI, cariola b marco-NO, vila c nelson-NO, silva c enrique-SI, martinez b jorge-NO, canessa r julio-NO, vega h ramon-NO, zurita c enrique-SI, cordero r fernando-SI, boeninger k edgardo-SI, orpis b jaime-NO, coloma c juan antonio-ABSTENCION, rios s mario-NO, prokurica p baldo-NO, horvath k antonio-NO, __-NO
foxley r alejandro-SI, moreno r rafael-SI, arancibia r jorge-SI, novoa v jovino-SI, nuniez m ricardo-SI, viera-gallo q jose antonio-SI, ominami p carlos-NO, ruiz d jose-NO, pizarro s jorge-SI, sabag c hosain-SI, paez v sergio-SI, bombal o carlos -SI, matthei f evelyn-SI, vila c nelson-SI, parra m augusto-NO, silva c enrique-NO, martinez b jorge-NO, canessa r julio-SI, vega h ramon-NO, zurita c enrique-SI, espina o alberto-SI, rios s mario-SI, cantero o carlos-SI, prokurica p baldo-SI, horvath k antonio-SI, __-SI
__-SI, munioz b roberto-SI, moreno r rafael-ABSTENCION, arancibia r jorge-SI, fernandez f sergio-SI, novoa v jovino-SI, nuniez m ricardo-NO, viera-gallo q jose antonio-SI, ruiz d jose-NO, paez v sergio-NO, ruiz-esquide j mariano-ABSTENCION, frei r eduardo-SI, bombal o carlos -SI, stange o rodolfo-SI, parra m augusto-NO, silva c enrique-NO, martinez b jorge-NO, boeninger k edgardo-SI, romero p sergio-SI, espina o alberto-SI, garcia r jose-SI, orpis b jaime-SI, rios s mario-SI, cantero o carlos-SI, prokurica p baldo-SI, __-SI
__-SI, munioz b roberto-SI, moreno r rafael-SI, frei r carmen-SI, arancibia r jorge-SI, novoa v jovino-SI, nuniez m ricardo-SI, viera-gallo q jose antonio-SI, ruiz d jose-SI, pizarro s jorge-SI, zaldivar l andres-SI, sabag c hosain-SI, ruiz-esquide j mariano-SI, bombal o carlos -SI, chadwick p andres-SI, cariola b marco-SI, matthei f evelyn-SI, vila c nelson-SI, parra m augusto-SI, silva c enrique-SI, canessa r julio-SI, vega h ramon-SI, zurita c enrique-SI, cordero r fernando-SI, boeninger k edgardo-SI, romero p sergio-SI, espina o alberto-SI, garcia r jose-SI, orpis b jaime-SI, coloma c juan antonio-SI, prokurica p baldo-SI, horvath k antonio-SI, __-SI
frei r eduardo-SI, horvath k antonio-SI, bianchi c carlos-SI, sabag c hosain-SI, pizarro s jorge-SI, chadwick p andres-SI, kuschel s carlos ignacio-SI, orpis b jaime-SI, perez s lily-SI, munioz a pedro-SI, allamand z andres-SI, walker p patricio-SI, garcia r jose-SI, lagos w ricardo-SI, chahuan c francisco-SI, prokurica p baldo-SI, escalona m camilo-SI, larrain f hernan-SI, coloma c juan antonio-SI, letelier m juan pablo-SI, walker p ignacio-SI, longueira m pablo-SI, allende b isabel-SI
__-SI, flores l fernando-ABSTENCION, moreno r rafael-NO, frei r carmen-NO, valdes s gabriel-NO, arancibia r jorge-NO, fernandez f sergio-NO, novoa v jovino-NO, nuniez m ricardo-SI, viera-gallo q jose antonio-SI, naranjo o jaime-NO, pizarro s jorge-SI, zaldivar l andres-NO, paez v sergio-NO, ruiz-esquide j mariano-SI, matthei f evelyn-NO, stange o rodolfo-NO, vila c nelson-SI, parra m augusto-SI, silva c enrique-SI, martinez b jorge-NO, canessa r julio-NO, vega h ramon-NO, zurita c enrique-NO, aburto o marcos-ABSTENCION, boeninger k edgardo-SI, romero p sergio-NO, espina o alberto-NO, orpis b jaime-NO, coloma c juan antonio-NO, cantero o carlos-SI, prokurica p baldo-NO, horvath k antonio-NO
__-SI, flores l fernando-SI, moreno r rafael-SI, frei r carmen-SI, arancibia r jorge-SI, novoa v jovino-SI, nuniez m ricardo-SI, viera-gallo q jose antonio-SI, naranjo o jaime-SI, zaldivar l andres-SI, sabag c hosain-SI, paez v sergio-SI, frei r eduardo-SI, bombal o carlos -SI, chadwick p andres-SI, stange o rodolfo-SI, vila c nelson-SI, parra m augusto-SI, vega h ramon-SI, cordero r fernando-SI, boeninger k edgardo-SI, romero p sergio-SI, espina o alberto-SI, garcia r jose-SI, orpis b jaime-SI, rios s mario-SI, cantero o carlos-SI, prokurica p baldo-SI, __-SI
